site,block,plot,time_month,treatment,species,number_recovered,number_original,number_herbivorized,notes,pct_recovered,mean_1seed,sd_1seed,number_lost
mo,4,20,1,sticky,SCHSCO,18,20,NA,NA,0.9,0.0018332,1.1412351982732469e-4,2
mo,4,20,1,sticky,SPOHET,18,20,1,NA,0.9,0.001996,8.69635939153084e-5,2
mo,4,20,1,carpet,SPOHET,18,20,NA,NA,0.9,0.001996,8.69635939153084e-5,2
mo,4,20,1,carpet,ECHPAL,20,20,NA,NA,1,0.0045968,1.8277660924989524e-4,0
mo,4,22,0.25,carpet,CORTIN,5,20,NA,NA,0.25,2.148e-4,1.3603921003397022e-5,15
mo,4,22,0.25,carpet,RUDHIR,7,20,NA,NA,0.35,2.5e-4,1.0198039027185568e-5,13
mo,4,22,0.25,sticky,TRIPER,11,20,NA,"not a super great stick, also bird poop",0.55,2.48e-5,1.6865480854231363e-6,9
mo,4,22,0.25,carpet,TRIPER,15,20,NA,NA,0.75,2.48e-5,1.6865480854231363e-6,5
mo,4,22,0.25,carpet,LESCAP,16,20,NA,NA,0.8,0.00328,9.864864700316754e-5,4
mo,4,22,0.25,carpet,SCHSCO,16,20,NA,NA,0.8,0.0018332,1.1412351982732469e-4,4
mo,4,22,0.25,sticky,ECHPAL,18,20,NA,"not a super great stick, also bird poop",0.9,0.0045968,1.8277660924989524e-4,2
mo,4,22,0.25,sticky,RUDHIR,18,20,NA,"not a super great stick, also bird poop",0.9,2.5e-4,1.0198039027185568e-5,2
mo,4,22,0.25,carpet,DESCAN,18,20,NA,NA,0.9,0.00442,3.0210520610468724e-4,2
mo,4,22,0.25,sticky,LESCAP,19,20,NA,"not a super great stick, also bird poop",0.95,0.00328,9.864864700316754e-5,1
mo,4,22,0.25,sticky,SPOHET,19,20,NA,"not a super great stick, also bird poop",0.95,0.001996,8.69635939153084e-5,1
mo,4,22,0.25,carpet,SPOHET,19,20,NA,NA,0.95,0.001996,8.69635939153084e-5,1
mo,4,22,0.25,sticky,DESCAN,20,20,NA,"not a super great stick, also bird poop",1,0.00442,3.0210520610468724e-4,0
mo,4,22,0.25,sticky,CORTIN,20,20,NA,"not a super great stick, also bird poop",1,2.148e-4,1.3603921003397022e-5,0
mo,4,22,0.25,carpet,ECHPAL,20,20,NA,NA,1,0.0045968,1.8277660924989524e-4,0
mo,4,22,0.25,sticky,SCHSCO,20,20,NA,"not a super great stick, also bird poop",1,0.0018332,1.1412351982732469e-4,0
mo,4,24,2,carpet,DESCAN,1,20,5,NA,0.05,0.00442,3.0210520610468724e-4,19
mo,4,24,2,carpet,CORTIN,1,20,NA,NA,0.05,2.148e-4,1.3603921003397022e-5,19
mo,4,24,2,carpet,RUDHIR,3,20,2,NA,0.15,2.5e-4,1.0198039027185568e-5,17
mo,4,24,2,sticky,DESCAN,5,20,NA,NA,0.25,0.00442,3.0210520610468724e-4,15
mo,4,24,2,sticky,ECHPAL,9,20,NA,NA,0.45,0.0045968,1.8277660924989524e-4,11
mo,4,24,2,carpet,TRIPER,9,20,NA,NA,0.45,2.48e-5,1.6865480854231363e-6,11
mo,4,24,2,sticky,LESCAP,11,20,NA,NA,0.55,0.00328,9.864864700316754e-5,9
mo,4,24,2,sticky,SPOHET,14,20,NA,NA,0.7,0.001996,8.69635939153084e-5,6
mo,4,24,2,sticky,CORTIN,14,20,NA,NA,0.7,2.148e-4,1.3603921003397022e-5,6
mo,4,24,2,carpet,LESCAP,15,20,NA,NA,0.75,0.00328,9.864864700316754e-5,5
mo,4,24,2,sticky,SCHSCO,16,20,NA,NA,0.8,0.0018332,1.1412351982732469e-4,4
mo,4,24,2,carpet,SPOHET,16,20,1,NA,0.8,0.001996,8.69635939153084e-5,4
mo,4,24,2,carpet,ECHPAL,16,20,1,NA,0.8,0.0045968,1.8277660924989524e-4,4
mo,4,24,2,sticky,RUDHIR,17,20,NA,NA,0.85,2.5e-4,1.0198039027185568e-5,3
mo,4,24,2,sticky,TRIPER,18,20,NA,NA,0.9,2.48e-5,1.6865480854231363e-6,2
mo,4,24,2,carpet,SCHSCO,18,20,NA,NA,0.9,0.0018332,1.1412351982732469e-4,2
mo,4,34,1,post-sticky,LESCAP,8,20,NA,NA,0.4,0.00328,9.864864700316754e-5,12
mo,4,34,1,post-sticky,DESCAN,9,20,NA,NA,0.45,0.00442,3.0210520610468724e-4,11
mo,4,34,1,post-sticky,TRIPER,11,20,NA,NA,0.55,2.48e-5,1.6865480854231363e-6,9
mo,4,34,1,post-sticky,SPOHET,13,20,NA,NA,0.65,0.001996,8.69635939153084e-5,7
mo,4,34,1,post-sticky,CORTIN,14,20,NA,NA,0.7,2.148e-4,1.3603921003397022e-5,6
mo,4,34,1,post-sticky,ECHPAL,15,20,NA,NA,0.75,0.0045968,1.8277660924989524e-4,5
mo,4,34,1,post-sticky,RUDHIR,15,20,NA,NA,0.75,2.5e-4,1.0198039027185568e-5,5
mo,4,34,1,post-sticky,SCHSCO,19,20,NA,NA,0.95,0.0018332,1.1412351982732469e-4,1
mo,5,26,1,carpet,CORTIN,1,20,NA,NA,0.05,2.148e-4,1.3603921003397022e-5,19
mo,5,26,1,carpet,RUDHIR,6,20,NA,NA,0.3,2.5e-4,1.0198039027185568e-5,14
mo,5,26,1,carpet,TRIPER,8,20,NA,NA,0.4,2.48e-5,1.6865480854231363e-6,12
mo,5,26,1,carpet,DESCAN,12,20,NA,NA,0.6,0.00442,3.0210520610468724e-4,8
mo,5,26,1,carpet,LESCAP,16,20,NA,NA,0.8,0.00328,9.864864700316754e-5,4
mo,5,26,1,sticky,LESCAP,18,20,NA,NA,0.9,0.00328,9.864864700316754e-5,2
mo,5,26,1,sticky,SPOHET,18,20,NA,NA,0.9,0.001996,8.69635939153084e-5,2
mo,5,26,1,sticky,TRIPER,18,20,NA,NA,0.9,2.48e-5,1.6865480854231363e-6,2
mo,5,26,1,sticky,DESCAN,19,20,NA,NA,0.95,0.00442,3.0210520610468724e-4,1
mo,5,26,1,sticky,SCHSCO,19,20,NA,NA,0.95,0.0018332,1.1412351982732469e-4,1
mo,5,26,1,sticky,ECHPAL,19,20,NA,NA,0.95,0.0045968,1.8277660924989524e-4,1
mo,5,26,1,sticky,RUDHIR,19,20,NA,NA,0.95,2.5e-4,1.0198039027185568e-5,1
mo,5,26,1,sticky,CORTIN,19,20,NA,NA,0.95,2.148e-4,1.3603921003397022e-5,1
mo,5,26,1,carpet,SCHSCO,20,20,NA,NA,1,0.0018332,1.1412351982732469e-4,0
mo,5,26,1,carpet,SPOHET,20,20,NA,NA,1,0.001996,8.69635939153084e-5,0
mo,5,26,1,carpet,ECHPAL,20,20,NA,NA,1,0.0045968,1.8277660924989524e-4,0
mo,5,28,0.25,carpet,CORTIN,0,20,NA,NA,0,2.148e-4,1.3603921003397022e-5,20
mo,5,28,0.25,carpet,RUDHIR,5,20,NA,NA,0.25,2.5e-4,1.0198039027185568e-5,15
mo,5,28,0.25,carpet,DESCAN,17,20,NA,NA,0.85,0.00442,3.0210520610468724e-4,3
mo,5,28,0.25,carpet,TRIPER,17,20,NA,NA,0.85,2.48e-5,1.6865480854231363e-6,3
